Page,0,1,2,3,4,5,6,7,8,9,10,11,12
27,,"① 25m 왕복 달리기 (총 100m)
② 핸드볼공 던지기
③ 제자리 멀리뛰기
※ 실기시험의 배점은 200점이며, 최고점은 200점, 최저점은 0점임",200,,,,,,,,,,
27,비	고,스포츠과학과 실기시험 등급표는 ‘부록 1. 스포츠과학과 실기시험 등급별 배점표’ 참조,,,,,,,,,,,
28,농어촌	학생,6년,"농어촌지역 (「지방자치법」 제3조에 의한 읍·면지역 및 도서·벽지지역 교육진흥법시행규칙 제2조에 의한 지역) 소재에서 
중·고교	전	교육과정	(6년)을	이수하고 해당 기간 중 본인	및	부모	모두가	농어촌지역에서	거주한 자",,,,,,,,,,
28,,12년,"농어촌지역 (「지방자치법」 제3조에 의한 읍·면지역 및 도서·벽지지역 교육진흥법시행규칙 제2조에 의한 지역) 소재에서 
초·중·고교	전	교육과정	(12년)을	이수하고 해당 기간 중 본인이	농어촌지역에서	거주한 자",,,,,,,,,,
28,전형요소	및	반영비율	(%),대학수학능력시험 100,,,,,,,,,,,
28,전형총점,"1,000",,,,,,,,,,,
28,수능	최저학력기준,없음,,,,,,,,,,,
28,선발방법,모집 군 및 모집단위 별 수능 반영 방법에 따른 평가 총점 순으로 최종 합격자 선발,,,,,,,,,,,
28,동점자	처리기준,"① 대학수학능력시험의 국어, 수학, 탐구, 탐구 4개 과목 표준점수 합이 우수한 자
② 대학수학능력시험의 수학영역 표준점수가 우수한 자
③ 대학수학능력시험의 국어영역 표준점수가 우수한 자
④ 대학수학능력시험의 탐구영역 상위 1개 과목 표준점수가 우수한 자
⑤ 대학수학능력시험의 영어영역 등급이 우수한 자
⑥ 대학수학능력시험의 한국사 등급이 우수한 자
⑦ 학생부 석차등급 평균이 우수한 자 (학생부 없는 자는 비교내신 적용)",,,,,,,,,,,
29,군,모집단위,유형,국어,수학,탐구,영어,한국사,,,,,
29,,,,"화법과	작문
언어와	매체","확률과	통계
미적분
기하","사회
과학",,,,,,,
29,가 / 나,"인문과학계열,
사회과학계열, 경영학과",A,40,30,20,10,"감점
적용",,,,,
29,,,B,30,40,20,10,,,,,,
29,,"자연과학계열, 공학계열,
전자전기공학부, 소프트웨어학과,
바이오신약·규제과학과",A,20,40,30,10,,,,,,
29,,,B,30,40,20,10,,,,,,
29,다,"반도체융합공학과,
에너지학과, 양자정보공학과",A,20,40,30,10,,,,,,
29,,,B,30,40,20,10,,,,,,
29,구분,,제출서류,,,,,,,,,,
29,공 통,(1) 지원자 전원,"•  입학원서
•  <서식1> 농어촌학생 지원자격 확인서 1부
 
- 원서접수 사이트에서 온라인 업로드",,,,,,,,,,
29,지 원 자 격 별,(2-1) 중·고등학교 (6년) 전교육과정 이수자,"•  중학교 학생부 1부
•  가족관계증명서 (지원자 기준) 1부
•  지원자 및 부모 (보호자) 모두의 주민등록표초본 (주민등록번호, 과거 주소변동 사항 
전체 및 날짜 모두 포함) 1부",,,,,,,,,,
29,,(2-2) 초·중·고등학교 (12년) 전교육과정 이수자,"•  초등학교, 중학교 학생부 각 1부
•  지원자 주민등록표초본 (주민등록번호, 과거 주소변동 사항 전체 및 날짜 모두 포함) 1부",,,,,,,,,,
29,해 당 자,(3) (2-1) 중 가족관계 변동이 있는 자 (부·모 이혼),"•  기본증명서 (지원자 기준, 상세) 1부
•  혼인관계증명서 (친권이 있는 부모 기준, 상세) 1부",,,,,,,,,,
29,,(4) (2-1) 중 가족관계 변동이 있는 자 (부·모 사망),•  기본증명서 또는 제적등본 1부 (사망한 부 또는 모 기준),,,,,,,,,,
29,최 종 합 격 자,(5) (2-1) 중 고교졸업예정자,"•  고교졸업증명서 (고교졸업일 명시)
•  본인 및 부모의 주민등록표초본 (고교졸업일 이후~2026.2.28. 사이 발급본)",,,,,,,,,,
